"E3.5_ICM_R1"	"E3.5_ICM_R2"	"E3.5_ICM_R3"	"E4.5_EPI_R1"	"E4.5_EPI_R2"	"E4.5_EPI_R3"	"E5.5_EPI_R1"	"E5.5_EPI_R2"	"E5.5_EPI_R3"
"ENSMUSG00000102316"	4	4	0	0	6	6	2	6	0
"ENSMUSG00000103819"	1	0	0	0	1	0	0	0	0
"ENSMUSG00000102871"	3	6	1	2	3	4	0	5	0
"ENSMUSG00000101571"	24	9	14	6	7	26	13	19	9
"ENSMUSG00000104428"	0	1	0	0	0	2	1	0	0
"ENSMUSG00000102272"	9	1	13	1	0	0	16	0	5
"ENSMUSG00000065625"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103411"	0	0	1	0	0	1	0	0	0
"ENSMUSG00000061024"	4042	5530	3046	3352	5823	6829	7539	7670	13966
"ENSMUSG00000025911"	5	9	163	316	5	276	5	94	231
"ENSMUSG00000079671"	10	9	5	1	7	18	7	13	2
"ENSMUSG00000081441"	45	37	19	18	29	37	47	41	72
"ENSMUSG00000067879"	2	5	1	1	3	1	3	3	1
"ENSMUSG00000099827"	1	4	2	0	2	6	0	0	1
"ENSMUSG00000025912"	160	28	7	6	227	400	101	58	137
"ENSMUSG00000045210"	64	3198	160	830	1610	791	1946	722	3902
"ENSMUSG00000097893"	13	2	10	1	4	8	3	27	4
"ENSMUSG00000025915"	738	2633	914	366	391	11	908	87	1732
"ENSMUSG00000046334"	106	27	33	46	104	102	53	42	127
"ENSMUSG00000088916"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000046101"	132	70	278	44	49	39	104	171	6
"ENSMUSG00000098234"	983	212	5415	1379	878	5471	2764	3456	8100
"ENSMUSG00000093178"	2	0	38	6	0	1	49	78	74
"ENSMUSG00000099032"	299	1472	81	7	9	10	46	9	178
"ENSMUSG00000104025"	1	2	0	0	1	1	0	1	17
"ENSMUSG00000025916"	1	1	0	0	0	1	1	0	0
"ENSMUSG00000087199"	4	0	0	0	1	1	0	0	2
"ENSMUSG00000095780"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025917"	24708	14940	37394	7469	4190	23539	16404	14753	33542
"ENSMUSG00000056763"	861	294	396	1005	50	274	1149	305	3388
"ENSMUSG00000102356"	2	1	0	0	1	1	0	0	0
"ENSMUSG00000067851"	3246	3327	4023	3292	1160	3363	4949	2378	5117
